vi,en,ja
"Y học chăm sóc tích cực là chuyên ngành điều trị những bệnh nhân có tình trạng bệnh nặng nhất. Những bệnh nhân này được điều trị tốt nhất trong một đơn vị hồi sức tích cực (ICU) với những nhân viên có kinh nghiệm. Một số bệnh viện duy trì các đơn vị riêng biệt cho các nhóm bệnh nhân đặc biệt (ví dụ: bệnh nhân tim, cấy ghép, chấn thương, phẫu thuật, thần kinh, nhi khoa hoặc trẻ sơ sinh). Các đơn vị hồi sức tích cực có tỷ lệ điều dưỡng trên bệnh nhân cao nhằm cung cấp dịch vụ chăm sóc tích cực với cường độ cao, bao gồm điều trị và theo dõi các thông số chức năng sống.","Critical care medicine specializes in caring for the most seriously ill patients. These patients are best treated in an intensive care unit (ICU) staffed by experienced personnel. Some hospitals maintain separate units for special populations (eg, cardiac, transplant, trauma, surgical, neurologic, pediatric, or neonatal patients). ICUs have a high nurse:patient ratio to provide the necessary high intensity of service, including treatment and monitoring of physiologic parameters.",救命医療は病状が最も重篤な患者のケアに特化している。こういった患者は，熟練したスタッフが配属された集中治療室（ICU）で治療を行うのが最もよい。病院によっては，特定の患者群（例，心疾患患者，外傷患者，手術患者，神経学的異常のある患者，小児，新生児の患児）に対し別々のICUを有するところもある。ICUは患者1人当たりの看護師の人数が多く，処置および生理学的パラメータのモニタリングなど，必要な集中治療管理を行える。
"Điều trị hỗ trợ cho bệnh nhân hồi sức tích cực bao gồm cung cấp đủ dinh dưỡng     Dinh dưỡng qua ống thông  Dinh dưỡng qua ống thông được chỉ định cho những bệnh nhân còn chức năng đường tiêu hóa (GI) nhưng dinh dưỡng qua đường miệng không đủ bởi vì họ không có khả năng hoặc không đồng ý ăn qua đường...  đọc thêm      điều trị và phòng ngừa nhiễm trùng, phòng ngừa loét dạ dày, viêm dạ dày do stress     Phòng ngừa  Viêm dạ dày ăn mòn là ăn mòn niêm mạc dạ dày do tổn thương hàng rào bảo vệ niêm mạc gây ra. Bệnh thường cấp tính, có biểu hiện chảy máu, nhưng có thể bán cấp hoặc mạn tính với ít hoặc không...  đọc thêm         và tắc mạch phổi     Phòng ngừa  Thuyên tắc động mạch phổi (PE) là tắc nghẽn nhánh động mạch phổi do huyết khối xuất phát từ nơi khác, điển hình là ở tĩnh mạch lớn ở chân hoặc khung chậu. Các yếu tố nguy cơ gây thuyên tắc động...  đọc thêm        . Do có từ 15 đến 25% bệnh nhân nhập viện ICU tử vong ở đó, các bác sĩ nên biết cách giảm thiểu đau khổ và giúp bệnh nhân sắp chết     Bệnh nhân cận tử  Bệnh nhân cận tử có những nhu cầu khác với những bệnh nhân khác. Để đáp ứng được nhu cầu của họ, trước hết phải xác định được rằng người bệnh đang trong giai đoạn cận tử. Trước khi tử vong,...  đọc thêm      duy trì phẩm giá.","Supportive care for the ICU patient includes provision of adequate nutrition     Enteral Tube Nutrition  Enteral tube nutrition is indicated for patients who have a functioning gastrointestinal (GI) tract but cannot ingest enough nutrients orally because they are unable or unwilling to take oral...  read more      and treatment and prevention of infection, stress ulcers and gastritis     Prevention  Erosive gastritis is gastric mucosal erosion caused by damage to mucosal defenses. It is typically acute, manifesting with bleeding, but may be subacute or chronic with few or no symptoms. Diagnosis...  read more        , and pulmonary embolism     Prevention  Pulmonary embolism (PE) is the occlusion of pulmonary arteries by thrombi that originate elsewhere, typically in the large veins of the legs or pelvis. Risk factors for pulmonary embolism are...  read more        . Because 15 to 25% of patients admitted to ICUs die there, physicians should know how to minimize suffering and help dying patients     The Dying Patient  Dying patients can have needs that differ from those of other patients. So that their needs can be met, dying patients must first be identified. Before death, patients tend to follow 1 of 3...  read more      maintain dignity.",ICU患者に対する支持療法（supportive care）としては， 十分な栄養投与     経腸チューブ栄養  消化管は機能しているものの，経口摂食できないまたはしたがらないため経口で十分な栄養素を摂取できない患者には，経腸チューブ栄養が適応となる。（ 栄養サポートの概要も参照のこと。） 静脈栄養と比較して，経腸栄養には以下の長所がある： 消化管の構造と機能がよりよく維持される 安価 おそらく合併症（特に感染症）がより少ない  さらに読む     や，感染症， ストレス潰瘍や胃炎     予防  びらん性胃炎は粘膜防御の障害に起因する胃粘膜びらんである。典型的には急性で，出血がみられるが，亜急性または慢性で症状がほとんどないか全くないこともある。診断は内視鏡検査による。治療は支持療法であり，具体的には誘因を除去するとともに，胃酸分泌抑制療法を開始する。特定のICU患者（例，人工呼吸器装着，頭部外傷，熱傷，多発外傷）では，胃酸分泌抑...  さらに読む        ，および 肺塞栓症     予防  肺塞栓症とは，典型的には下肢または骨盤の太い静脈など，他の場所で形成された血栓による肺動脈の閉塞である。肺塞栓症の危険因子は，静脈還流を障害する状態，血管内皮の障害または機能不全を引き起こす状態，および基礎にある凝固亢進状態である。肺塞栓症の症状は非特異的であり，呼吸困難，胸膜性胸痛などに加え，より重症例では，ふらつき，失神前状態，失神，...  さらに読む        の治療と予防などがある。ICU患者の15～25％がICU内で死亡するため，医師は苦痛を最小限にする方法および 死に臨んだ患者     臨死患者  臨死患者には，他の患者とは異なるニーズがある可能性がある。このニーズを満たすために，まずどの患者が臨死状態にあるかを同定する必要がある。死に至る前に，患者は3種類の一般的な機能低下の軌跡の1つをたどる傾向がある： 限定的な期間で機能低下が着実に進行（例，進行性のがんに典型的） 着実に進行しないこともある重度の機能障害が，長期かつ不確定な期...  さらに読む     が尊厳を保てるようにする方法を心得ておくべきである。
"Một số theo dõi phải bệnh nhân chăm sóc tích cực phụ thuộc vào quan sát trực tiếp và khám thực thể và ngắt quãng, với tần suất tùy thuộc vào bệnh của bệnh nhân. Các theo dõi khác đang được tiến hành liên tục, nhờ các thiết bị hiện đại đòi hỏi phải được đào tạo và có kinh nghiệm vận hành. Hầu hết các thiết bị này sẽ báo động nếu vượt quá các thông số sinh lý. Mỗi khoa hồi sức tích cực (ICU) phải tuân thủ đúng các quy trình nghiêm ngặt khi có báo động.","Some monitoring of critical care patients depends on direct observation and physical examination and is intermittent, with the frequency depending on the patient's illness. Other monitoring is ongoing and continuous, provided by complex devices that require special training and experience to operate. Most such devices generate an alarm if certain physiologic parameters are exceeded. Every intensive care unit (ICU) should strictly follow protocols for investigating alarms.",重症患者のモニタリングは，直接観察および身体診察に基づき，患者の病状に応じた頻度で断続的に行われる。同時に，その他，機器を用いた持続的モニタリングも行われ，操作に特別な訓練および経験を必要とする複雑な機器を用いる。そうした機器のほとんどは，生理学的パラメータの測定値が設定値を超えると警報を発する。どこの集中治療室（ICU）でも，アラームが鳴った際には，プロトコルに厳密に従って対処すべきである。
"Việc theo dõi thường bao gồm đo các sinh hiệu (nhiệt độ, huyết áp, mạch và nhịp thở), định lượng tất cả lượng dịch đưa vào và thải ra và thường là áp lực nội sọ và/hoặc cân nặng hàng ngày. Huyết áp có thể được ghi lại bằng máy đo huyết áp tự động, hoặc có thể sử dụng ống thông động mạch để theo dõi huyết áp liên tục. Một cảm biến xuyên da để đo độ bão hòa oxy trong máu cũng được sử dụng.","Monitoring usually includes measurement of vital signs (temperature, blood pressure, pulse, and respiration rate), quantification of all fluid intake and output, and often intracranial pressure and/or daily weight. Blood pressure may be recorded by an automated sphygmomanometer, or an arterial catheter can be used for continuous blood pressure monitoring. A transcutaneous sensor for pulse oximetry is used as well.",モニタリングの対象には通常，バイタルサイン（体温，血圧，脈拍数，および呼吸数）の測定，水分の総摂取量および総排泄量の定量などがあり，しばしば経日的な体重測定も行う。血圧は自動血圧計により記録するか，あるいは動脈カテーテルを用いて継続的にモニタリングすることも可能である。パルスオキシメトリー用の経皮的センサーも同様に使用される。
"Giảm thể tích máu: Ngay cả khi tĩnh mạch chủ dưới có vẻ đầy (có thể xảy ra ở bệnh nhân thở nhanh), tình trạng giảm thể tích tuần hoàn được gợi ý bởi tình trạng tăng huyết áp trái và gần như không có máu ở cuối tâm thu.","Hypovolemia: Even if the inferior vena cava looks full (as can occur in a hypovolemic ventilated patient), hypovolemia is suggested by a hyperdynamic left ventricle with almost no blood at the end of systole and little at the end of diastole.",循環血液量減少：下大静脈が充満しているように見えても（換気を受けている循環血液量減少患者などでみられる），左室の運動が亢進していて，収縮期末にほとんど血液がなく，拡張期末に血液が少ない場合は循環血液量減少が示唆される。
Rối loạn chức năng tâm thất trái: Rối loạn chức năng thất trái được gợi ý bởi các bất thường chuyển động của thành tim và giảm phân suất tống máu hoặc đo được (do một bác sĩ có kinh nghiệm đánh giá kích thước tổng thể và sự co giãn rõ ràng và sự dày lên của các thành thất trái).,Left ventricular dysfunction: Left ventricular dysfunction is suggested by wall motion abnormalities and decreased ejection fraction that is either measured or estimated (by an experienced operator who assesses the overall size and apparent contractility and inward movement and thickening of the various segments of the left ventricular wall).,左室機能障害：左室機能障害は，壁運動異常および駆出率の測定値または推定値の低下（経験豊富な評価者が全体的なサイズや見かけ上の収縮力および左室壁の内向き運動や様々な部位の肥厚を評価することでわかる）から示唆される。
"Suy thất phải: Tâm thất phải bằng 60% kích thước của tâm thất trái, hình tam giác, và có bề mặt bên trong gồ ghề. Suy tim phải có thể gợi ý thuyên tắc phổi.","Right ventricular failure: The right ventricle should be 60% the size of the left ventricle, triangular, and have a rough inside surface. Right ventricular failure may suggest pulmonary embolism.",右室不全：右室のサイズは左室のサイズの60％で，三角形で，内部の表面が粗いはずである。右室不全は肺塞栓症を示唆することがある。
Tràn dịch màng ngoài tim và ép tim,Pericardial effusions and tamponade,心嚢液および心タンポナーデ
"Mặc dù việc lấy máu thường xuyên có thể gây vỡ ven, gây đau và dẫn đến mất máu, bệnh nhân ICU vẫn có các xét nghiệm máu hàng ngày thường để giúp chẩn đoán sớm tình trạng bệnh. Đặt một catheter tĩnh mạch trung tâm     Ống thông tĩnh mạch trung tâm  Một số thủ thuật được sử dụng để tiếp cận mạch máu. Hầu hết các nhu cầu truyền dịch và thuốc của bệnh nhân có thể đáp ứng bằng ống thông tĩnh mạch ngoại biên qua da. Nếu vị trí mù qua da là...  đọc thêm         hoặc ống thông động mạch     Ống thông động mạch  Một số thủ thuật được sử dụng để tiếp cận mạch máu. Hầu hết các nhu cầu truyền dịch và thuốc của bệnh nhân có thể đáp ứng bằng ống thông tĩnh mạch ngoại biên qua da. Nếu vị trí mù qua da là...  đọc thêm         có thể tạo điều kiện cho việc lấy máu dễ dàng mà không cần chọc nhiều lần, nhưng cần cân nhắc nguy cơ biến chứng. Nói chung, bệnh nhân cần một bộ xét nghiệm điện giải và công thức máu toàn phần (CBC). Bệnh nhân cũng cần phải được đo nồng độ magiê, photphat và canxi ion hóa. Bệnh nhân được nuôi hoàn toàn qua đường tĩnh mạch cần được làm các xét nghiệm về gan và bộ xét nghiệm đông máu hàng tuần. Các xét nghiệm khác (ví dụ: cấy máu để tìm nguyên nhân gây sốt, xét nghiệm công thức máu theo tuần tự để tìm khả năng mất máu đang xảy ra) được thực hiện khi cần thiết.","Although frequent blood draws can destroy veins, cause pain, and lead to anemia, ICU patients typically have routine daily blood tests to help detect problems early. Placement of a central venous catheter     Central Venous Catheterization  A number of procedures are used to gain vascular access. Most patients' needs for IV fluid and drugs can be met with a percutaneous peripheral venous catheter. If blind percutaneous placement...  read more         or arterial catheter     Arterial Catheterization  A number of procedures are used to gain vascular access. Most patients' needs for IV fluid and drugs can be met with a percutaneous peripheral venous catheter. If blind percutaneous placement...  read more         can facilitate easy blood sampling without the need for repeated peripheral needle sticks, but the risk of complications must be considered. Generally, patients need a daily set of electrolytes and a complete blood count (CBC). Patients should also have magnesium, phosphate, and ionized calcium levels measured. Patients receiving total parenteral nutrition need weekly liver tests and coagulation profiles. Other tests (eg, blood culture for fever, serial CBCs for possible active blood loss]) are done as needed.",頻回の採血は静脈を損傷し，痛みを生じ，貧血を引き起こしうるが，問題の早期発見に役立てるため，通常ICU患者ではルーチンに毎日血液検査を行う。 中心静脈カテーテル     中心静脈カテーテル法  血管確保のためにいくつかの手技が用いられている。 大半の患者では，輸液および薬剤投与は経皮的な末梢静脈カテーテルで対応できる。ブラインドでの経皮的留置が困難な場合，超音波ガイド下に留置を行うことで通常はうまくいく。経皮的カテーテル挿入ができないまれな症例では静脈切開を行える。典型的な静脈切開部位は，前腕の橈側皮静脈および足関節の伏在静脈である。しかしながら，成人でも小児でも末梢挿入型中心静脈カテーテル（PICC：peripherally...  さらに読む        または 動脈カテーテル     動脈カテーテル法  血管確保のためにいくつかの手技が用いられている。 大半の患者では，輸液および薬剤投与は経皮的な末梢静脈カテーテルで対応できる。ブラインドでの経皮的留置が困難な場合，超音波ガイド下に留置を行うことで通常はうまくいく。経皮的カテーテル挿入ができないまれな症例では静脈切開を行える。典型的な静脈切開部位は，前腕の橈側皮静脈および足関節の伏在静脈である。しかしながら，成人でも小児でも末梢挿入型中心静脈カテーテル（PICC：peripherally...  さらに読む        を留置することで，末梢の穿刺を繰り返す必要がなくなり，血液の採取が簡便になるが，合併症のリスクを考慮しなければならない。一般に，血清電解質と血算をセットで毎日検査する必要がある。マグネシウム，リン酸，カルシウムの値も測定すべきである。完全静脈栄養を受けている患者には，週1回の血清肝酵素活性および血液凝固検査が必要である。必要に応じて他の検査（例，発熱時の血液培養，出血後の血算）が行われる。
"Xét nghiệm nhanh tại chỗ sử dụng các thiết bị thu nhỏ tự động hóa rất cao, để làm một số xét nghiệm máu tại giường hoặc đơn vị của bệnh nhân (đặc biệt là đơn vị hồi sức tích cực, khoa cấp cứu và phòng mổ). Các xét nghiệm thường làm bao gồm hóa sinh, glucose, khí máu (ABG), CTM, các marker tim, và xét nghiệm đông máu. Nhiều xét nghiệm thực hiện trong thời gian < 2 phút và cần < 0,5 mL máu.","Point-of-care testing uses miniaturized, highly automated devices to do certain blood tests at the patient's bedside or unit (particularly ICU, emergency department, and operating room). Commonly available tests include blood chemistries, glucose, arterial blood gases (ABGs), CBC, cardiac markers, and coagulation tests. Many are done in < 2 minutes and require < 0.5 mL blood.",ポイントオブケア検査（POCT：中央検査部外での検査）では，ベッドサイドまたは各セクション（特にICU，救急診療部，手術室）において，高度に自動化された小型の機器を用いて特定の血液検査を行う。一般的に実施可能な検査には，血液生化学検査，血糖値，動脈血ガス，血算，心筋マーカー，凝固検査などがある。その多くは，2分未満で結果が分かり，必要とする血液は0.5mL未満である。
